sample_index,micros,ax,ay,az
644,2782715,12,54,4384
645,2783104,8,34,4427
646,2783497,8,34,4427
647,2783890,8,34,4427
648,2784293,18,13,4388
649,2784688,18,13,4388
650,2785087,37,33,4367
651,2785476,37,33,4367
652,2785875,37,33,4367
653,2786269,56,52,4363
654,2786669,56,52,4363
655,2787065,60,29,4365
656,2787459,60,29,4365
657,2787846,60,29,4365
658,2788246,62,22,4355
659,2788634,62,22,4355
660,2789032,36,27,4355
661,2789417,36,27,4355
662,2789814,36,27,4355
663,2790208,18,43,4346
664,2790608,18,43,4346
665,2791000,18,43,4346
666,2791400,53,56,4343
667,2791780,53,56,4343
668,2792180,65,46,4372
669,2792574,65,46,4372
670,2792976,65,46,4372
671,2793369,63,29,4356
672,2793743,63,29,4356
673,2794117,63,15,4363
674,2794510,63,15,4363
675,2794897,63,15,4363
676,2795300,49,37,4402
677,2795693,49,37,4402
678,2796087,49,63,4400
679,2796470,49,63,4400
680,2796863,49,63,4400
681,2797256,57,49,4372
682,2797656,57,49,4372
683,2798039,52,38,4362
684,2798431,52,38,4362
685,2798823,52,38,4362
686,2799222,29,36,4375
687,2799616,29,36,4375
688,2800020,30,51,4377
689,2800406,30,51,4377
690,2800801,30,51,4377
691,2801194,46,39,4383
692,2801592,46,39,4383
693,2801989,46,39,4383
694,2802389,34,17,4408
695,2802770,34,17,4408
696,2803168,38,42,4423
697,2803562,38,42,4423
698,2803971,38,42,4423
699,2804358,63,52,4417
700,2804751,63,52,4417
701,2805145,60,45,4432
702,2805546,60,45,4432
703,2805939,60,45,4432
704,2806341,56,39,4417
705,2806729,56,39,4417
706,2807127,51,41,4393
707,2807522,51,41,4393
708,2807921,51,41,4393
709,2808320,12,23,4393
710,2808719,12,23,4393
711,2809114,13,14,4395
712,2809508,13,14,4395
713,2809895,13,14,4395
714,2810297,28,50,4396
715,2810685,28,50,4396
716,2811085,41,60,4398
717,2811472,41,60,4398
718,2811867,41,60,4398
719,2812261,29,65,4396
720,2812660,29,65,4396
