sample_index,micros,ax,ay,az
291980,293595029,-52,56,4374
291981,293596029,-27,56,4368
291982,293597028,-22,69,4403
291983,293598029,-47,56,4376
291984,293599029,-53,66,4329
291985,293600029,-47,73,4342
291986,293601029,-36,49,4364
291987,293602029,-27,48,4364
291988,293603029,-41,65,4355
291989,293604029,-52,55,4362
291990,293605029,-28,52,4385
291991,293606029,-31,57,4390
291992,293607029,-53,49,4384
291993,293608028,-50,31,4378
291994,293609029,-33,42,4382
291995,293610029,-31,61,4380
291996,293611028,-33,51,4367
291997,293612029,-39,53,4357
291998,293613029,-42,53,4378
291999,293614029,-44,50,4389
292000,293615029,-50,65,4363
292001,293616029,-47,64,4367
292002,293617029,-44,48,4356
292003,293618029,-33,56,4338
292004,293619028,-29,69,4345
292005,293620029,-48,66,4367
292006,293621028,-62,59,4394
292007,293622028,-66,48,4370
292008,293623029,-74,47,4347
292009,293624029,-81,46,4374
292010,293625029,-85,49,4421
292011,293626028,-69,63,4422
292012,293627028,-58,61,4394
292013,293628029,-65,47,4356
292014,293629029,-59,55,4318
292015,293630029,-64,56,4348
292016,293631028,-59,48,4374
292017,293632028,-46,51,4380
292018,293633029,-52,54,4370
292019,293634029,-58,50,4365
292020,293635028,-65,56,4375
292021,293636029,-54,61,4377
292022,293637028,-46,59,4392
292023,293638029,-54,70,4373
292024,293639028,-65,70,4365
292025,293640029,-59,71,4394
292026,293641028,-29,59,4397
292027,293642029,-25,48,4385
292028,293643029,-42,40,4354
292029,293644028,-51,43,4336
292030,293645029,-57,41,4381
292031,293646029,-62,46,4418
292032,293647029,-73,56,4413
292033,293648029,-70,65,4384
292034,293649029,-47,78,4369
292035,293650029,-24,68,4375
292036,293651028,-23,56,4379
292037,293652028,-47,40,4375
292038,293653029,-40,37,4383
292039,293654029,-20,42,4390
292040,293655028,-31,51,4388
292041,293656029,-35,58,4368
292042,293657029,-43,49,4350
292043,293658028,-46,43,4379
292044,293659029,-43,44,4392
292045,293660029,-42,45,4370
292046,293661029,-41,43,4375
292047,293662029,-41,49,4379
292048,293663029,-52,54,4374
292049,293664029,-65,55,4390
292050,293665028,-54,53,4421
292051,293666028,-66,48,4419
292052,293667029,-65,41,4395
292053,293668028,-46,40,4395
292054,293669028,-59,48,4368
292055,293670029,-50,41,4363
292056,293671029,-43,42,4369
292057,293672029,-46,54,4370
292058,293673029,-38,63,4374
292059,293674029,-30,65,4366
292060,293675028,-31,64,4370
292061,293676029,-45,73,4373
292062,293677028,-36,57,4374
292063,293678029,-28,48,4371
292064,293679028,-37,59,4369
292065,293680029,-51,68,4370
292066,293681029,-53,58,4390
292067,293682029,-63,38,4392
292068,293683029,-48,48,4376
292069,293684029,-26,54,4364
292070,293685029,-43,60,4352
292071,293686029,-44,65,4347
292072,293687029,-31,52,4341
292073,293688029,-36,54,4355
292074,293689029,-56,60,4376
292075,293690028,-58,42,4400
292076,293691029,-64,42,4393
292077,293692029,-58,60,4385
292078,293693029,-55,60,4372
292079,293694028,-65,59,4372
292080,293695028,-55,55,4392
292081,293696028,-48,53,4371
292082,293697028,-51,61,4362
292083,293698029,-64,45,4369
292084,293699029,-68,34,4395
292085,293700029,-48,57,4414
292086,293701029,-52,57,4404
292087,293702029,-74,46,4393
292088,293703029,-64,60,4368
292089,293704028,-33,74,4325
292090,293705029,-12,66,4340
292091,293706029,-21,59,4367
292092,293707029,-45,61,4363
292093,293708029,-56,54,4396
292094,293709028,-45,50,4405
292095,293710029,-42,56,4388
292096,293711028,-46,59,4372
292097,293712028,-38,39,4382
292098,293713029,-34,55,4404
292099,293714029,-28,67,4385
292100,293715029,-41,55,4352
292101,293716029,-62,51,4364
292102,293717029,-75,42,4394
292103,293718028,-72,42,4358
292104,293719028,-60,50,4345
292105,293720028,-51,57,4349
292106,293721028,-46,46,4339
292107,293722029,-36,46,4365
292108,293723029,-29,56,4382
292109,293724029,-39,43,4381
292110,293725029,-45,42,4398
292111,293726029,-47,59,4401
292112,293727029,-55,55,4375
292113,293728029,-62,58,4343
292114,293729029,-51,61,4365
292115,293730029,-40,54,4366
292116,293731028,-41,52,4337
292117,293732029,-37,60,4359
292118,293733028,-39,56,4386
292119,293734028,-39,41,4393
292120,293735029,-44,52,4383
292121,293736029,-59,71,4362
292122,293737029,-53,65,4350
292123,293738028,-47,64,4342
292124,293739029,-39,54,4370
292125,293740028,-42,45,4411
292126,293741029,-55,47,4430
292127,293742028,-52,32,4422
292128,293743029,-43,40,4397
292129,293744028,-40,64,4386
292130,293745029,-33,58,4364
292131,293746029,-39,49,4350
292132,293747029,-64,46,4329
292133,293748029,-60,41,4319
292134,293749029,-36,52,4330
292135,293750028,-17,36,4354
292136,293751029,-17,46,4357
292137,293752029,-32,74,4387
292138,293753028,-29,66,4408
