row,seconds,esp32_index,micros,v0,v1
268,30.020832,330,30020649,-207,71,4336
269,30.021234,331,30021051,-207,71,4336
270,30.021627,332,30021444,-186,73,4360
271,30.022028,333,30021845,-186,73,4360
272,30.022429,334,30022246,-210,80,4385
273,30.022823,335,30022640,-210,80,4385
274,30.023234,336,30023051,-210,80,4385
275,30.023627,337,30023444,-225,83,4367
276,30.024021,338,30023838,-225,83,4367
277,30.024424,339,30024241,-225,95,4376
278,30.024826,340,30024643,-225,95,4376
279,30.025231,341,30025048,-225,95,4376
280,30.025612,342,30025429,-188,92,4371
281,30.026024,343,30025841,-188,92,4371
282,30.026425,344,30026242,-182,88,4365
283,30.026826,345,30026643,-182,88,4365
284,30.027224,346,30027041,-182,88,4365
285,30.027612,347,30027429,-224,68,4380
286,30.028010,348,30027827,-224,68,4380
287,30.028411,349,30028228,-204,77,4369
288,30.028820,350,30028637,-204,77,4369
289,30.029209,351,30029026,-204,77,4369
290,30.029596,352,30029413,-176,85,4352
291,30.030003,353,30029820,-176,85,4352
292,30.030398,354,30030215,-170,99,4352
293,30.030799,355,30030616,-170,99,4352
294,30.031212,356,30031029,-170,99,4352
295,30.031599,357,30031416,-186,140,4361
296,30.032005,358,30031822,-186,140,4361
297,30.032399,359,30032216,-177,116,4366
298,30.032808,360,30032625,-177,116,4366
299,30.033214,361,30033031,-177,116,4366
300,30.033601,362,30033418,-189,86,4401
301,30.034007,363,30033824,-189,86,4401
302,30.034401,364,30034218,-191,86,4402
303,30.034791,365,30034608,-191,86,4402
304,30.035194,366,30035011,-191,86,4402
305,30.035588,367,30035405,-167,83,4366
306,30.035979,368,30035796,-167,83,4366
307,30.036368,369,30036185,-203,88,4362
308,30.036762,370,30036579,-203,88,4362
309,30.037168,371,30036985,-203,88,4362
310,30.037561,372,30037378,-233,82,4342
311,30.037950,373,30037767,-233,82,4342
312,30.038352,374,30038169,-213,66,4299
313,30.038748,375,30038565,-213,66,4299
314,30.039161,376,30038978,-213,66,4299
315,30.039556,377,30039373,-194,63,4348
316,30.039946,378,30039763,-194,63,4348
