sample_index,micros,ax,ay,az
28001,61854486,-10786,1072,5555
28002,61854880,-7189,-835,3771
28003,61855295,-7189,-835,3771
28004,61855712,-7189,-835,3771
28005,61856124,21512,-1971,-2521
28006,61856544,21512,-1971,-2521
28007,61856949,28474,-857,-3803
28008,61857358,28474,-857,-3803
28009,61857735,28474,-857,-3803
28010,61858129,-3427,-466,872
28011,61858553,-3427,-466,872
28012,61858957,-20297,-1065,2701
28013,61859380,-20297,-1065,2701
28014,61859793,-16988,-358,4229
28015,61860210,-16988,-358,4229
28016,61860622,-16988,-358,4229
28017,61861044,-2199,-303,7420
28018,61861455,-2199,-303,7420
28019,61861870,4151,-1515,7040
28020,61862268,4151,-1515,7040
28021,61862677,4151,-1515,7040
28022,61863083,-5058,-1433,6101
28023,61863502,-5058,-1433,6101
28024,61863900,-2160,-303,6454
28025,61864324,-2160,-303,6454
28026,61864736,-2160,-303,6454
28027,61865153,6191,303,4103
28028,61865541,6191,303,4103
28029,61865937,3166,-252,2969
28030,61866346,3166,-252,2969
28031,61866755,566,-484,4938
28032,61867159,566,-484,4938
28033,61867569,566,-484,4938
28034,61867965,2954,-343,6858
28035,61868379,2954,-343,6858
28036,61868783,367,-796,5631
28037,61869192,367,-796,5631
28038,61869588,367,-796,5631
28039,61870002,-2286,-1162,3091
28040,61870419,-2286,-1162,3091
28041,61870837,2016,-682,3409
28042,61871234,2016,-682,3409
28043,61871635,2016,-682,3409
28044,61872024,8244,324,3548
28045,61872432,8244,324,3548
28046,61872819,9495,845,1623
28047,61873217,9495,845,1623
28048,61873604,9495,845,1623
28049,61874007,5964,790,417
28050,61874396,5964,790,417
28051,61874797,4851,738,1678
28052,61875192,4851,738,1678
28053,61875592,4851,738,1678
28054,61875994,3263,893,5232
28055,61876389,3263,893,5232
28056,61876784,2225,1124,8018
28057,61877186,2225,1124,8018
28058,61877581,2225,1124,8018
28059,61877988,3585,773,7825
28060,61878376,3585,773,7825
28061,61878777,-476,330,7050
28062,61879179,-476,330,7050
28063,61879595,-476,330,7050
28064,61879997,-5040,559,6694
28065,61880396,-5040,559,6694
28066,61880766,-6389,1119,6328
28067,61881156,-6389,1119,6328
28068,61881574,-6389,1119,6328
28069,61881971,-6013,1647,6327
28070,61882386,-6013,1647,6327
28071,61882781,-5960,1691,6113
28072,61883198,-5960,1691,6113
28073,61883593,-5960,1691,6113
28074,61884008,-8411,1422,5195
28075,61884417,-8411,1422,5195
28076,61884826,-11714,1187,4852
28077,61885216,-11714,1187,4852
28078,61885634,-11714,1187,4852
28079,61886041,-10272,280,5401
28080,61886443,-10272,280,5401
28081,61886855,13108,-1672,-257
28082,61887266,13108,-1672,-257
28083,61887677,13108,-1672,-257
28084,61888096,26905,-1165,-4875
28085,61888507,26905,-1165,-4875
28086,61888903,14466,-598,-128
28087,61889323,14466,-598,-128
28088,61889739,14466,-598,-128
28089,61890150,-18975,-1026,2512
28090,61890569,-18975,-1026,2512
28091,61890972,-29030,-416,2665
28092,61891382,-29030,-416,2665
28093,61891785,477,-668,6624
28094,61892194,477,-668,6624
28095,61892596,477,-668,6624
28096,61893011,6319,-1114,8525
28097,61893421,6319,-1114,8525
28098,61893824,-7466,-1430,5755
28099,61894236,-7466,-1430,5755
28100,61894654,-7466,-1430,5755
28101,61895068,-3603,-636,5825
28102,61895486,-3603,-636,5825
28103,61895890,7762,197,5357
28104,61896290,7762,197,5357
28105,61896686,7762,197,5357
28106,61897079,2087,-110,2949
28107,61897449,2087,-110,2949
28108,61897856,-160,-481,3851
28109,61898266,-160,-481,3851
28110,61898676,-160,-481,3851
28111,61899095,4428,-367,6822
28112,61899489,4428,-367,6822
28113,61899890,530,-489,6746
28114,61900299,530,-489,6746
28115,61900705,530,-489,6746
28116,61901100,-2668,-1104,3533
28117,61901525,-2668,-1104,3533
28118,61901921,1691,-990,2970
28119,61902344,1691,-990,2970
28120,61902746,6705,-14,3688
28121,61903154,6705,-14,3688
28122,61903557,6705,-14,3688
28123,61903959,8339,785,2259
28124,61904347,8339,785,2259
28125,61904750,7078,844,546
28126,61905146,7078,844,546
28127,61905549,7078,844,546
28128,61905924,5689,735,1076
28129,61906334,5689,735,1076
28130,61906723,5689,735,1076
28131,61907124,3784,886,4094
28132,61907520,3784,886,4094
28133,61907908,2213,1006,7411
28134,61908305,2213,1006,7411
28135,61908707,2213,1006,7411
28136,61909103,3684,962,8230
28137,61909505,3684,962,8230
28138,61909892,1835,536,7302
28139,61910295,1835,536,7302
28140,61910690,1835,536,7302
28141,61911091,-3738,407,6681
28142,61911489,-3738,407,6681
28143,61911888,-6936,903,6282
28144,61912300,-6936,903,6282
28145,61912710,-6936,903,6282
28146,61913112,-6519,1531,6198
28147,61913521,-6519,1531,6198
28148,61913909,-5222,1719,6324
28149,61914327,-5222,1719,6324
28150,61914730,-5222,1719,6324
28151,61915140,-8231,1491,5535
28152,61915536,-8231,1491,5535
28153,61915941,-10391,1304,4983
28154,61916336,-10391,1304,4983
28155,61916752,-10649,1013,6097
28156,61917155,-10649,1013,6097
28157,61917565,-10649,1013,6097
28158,61917961,157,-1300,1781
28159,61918376,157,-1300,1781
28160,61918772,24068,-1827,-4617
28161,61919196,24068,-1827,-4617
28162,61919614,24068,-1827,-4617
28163,61920036,25510,-558,-2853
28164,61920447,25510,-558,-2853
28165,61920851,-11598,-1227,2037
28166,61921250,-11598,-1227,2037
28167,61921666,-11598,-1227,2037
28168,61922084,-29095,-906,2888
28169,61922504,-29095,-906,2888
28170,61922900,-5640,-52,5549
28171,61923326,-5640,-52,5549
28172,61923736,3287,-519,8654
